Sample,DIN,Conc.ng/uL,260/280,260/230 
DW_CO2_D0_HCC1395_1,9.5,114.2,1.89,2.22
DW_CO2_D0_HCC1395_2,9.5,116,1.88,2.12
DW_CO2_D0_HCC1395_3,9.5,124.4,1.89,2.18
DW_CO2_D0_HCC1395BL_1,9.5,111.6,1.93,2.07
DW_CO2_D0_HCC1395BL_2,9.5,116.5,1.91,2.06
DW_CO2_D0_HCC1395BL_3,9.5,110.6,1.92,2.09
DW_CO2_D0_D6_1,8.3,204.2,1.96,2.17
DW_CO2_D0_D6_2,8.2,239.9,2.01,2.11
DW_CO2_D0_D6_3,7.9,238.6,1.97,2.08
DW_CO2_D2_HCC1395_1,9.1,114.1,1.89,2.2
DW_CO2_D2_HCC1395_2,9.5,113.8,1.89,2.33
DW_CO2_D2_HCC1395_3,9.5,119,1.88,2.21
DW_CO2_D2_HCC1395BL_1,9.4,105.9,1.92,2.16
DW_CO2_D2_HCC1395BL_2,9.4,113.9,1.9,2.16
DW_CO2_D2_HCC1395BL_3,9.3,99.88,1.92,2.23
DW_CO2_D2_D6_1,8.3,224.3,1.98,2.22
DW_CO2_D2_D6_2,8.3,214,2,2.17
DW_CO2_D2_D6_3,7.9,233,1.97,2.17
DW_CO2_D4_HCC1395_1,9.5,111.6,1.89,2.11
DW_CO2_D4_HCC1395_2,9.5,127.6,1.9,2.15
DW_CO2_D4_HCC1395_3,9.5,109.6,1.88,2.25
DW_CO2_D4_HCC1395BL_1,9.3,120.8,1.93,2.14
DW_CO2_D4_HCC1395BL_2,9.3,108.9,1.9,2.08
DW_CO2_D4_HCC1395BL_3,9,112.1,1.92,2.19
DW_CO2_D4_D6_1,8.1,215.9,1.98,2.19
DW_CO2_D4_D6_2,8.1,234,2,2.16
DW_CO2_D4_D6_3,8.2,223,1.96,2.16
DW_CO2_D8_HCC1395_1,9.4,104,1.88,2.27
DW_CO2_D8_HCC1395_2,9.4,111.5,1.9,2.22
DW_CO2_D8_HCC1395_3,9.4,121.3,1.89,2.09
DW_CO2_D8_HCC1395BL_1,9.2,105.4,1.95,2.1
DW_CO2_D8_HCC1395BL_2,9.3,107,1.91,2.14
DW_CO2_D8_HCC1395BL_3,9.2,104.4,1.92,2.16
DW_CO2_D8_D6_1,8.1,220.9,1.97,2.22
DW_CO2_D8_D6_2,8,228.5,2,2.19
DW_CO2_D8_D6_3,8.2,226.2,1.98,2.16
DW_CO2_D20_HCC1395_1,9.4,122.6,1.89,2.16
DW_CO2_D20_HCC1395_2,9.5,92.45,1.89,2.24
DW_CO2_D20_HCC1395_3,9.5,111.6,1.89,2.27
DW_CO2_D20_HCC1395BL_1,9.2,106.7,1.95,2.2
DW_CO2_D20_HCC1395BL_2,9.2,112.7,1.92,2.13
DW_CO2_D20_HCC1395BL_3,9.3,108.8,1.93,2.16
DW_CO2_D20_D6_1,8.4,218.6,1.97,2.17
DW_CO2_D20_D6_2,8.3,212.7,2,2.23
DW_CO2_D20_D6_3,7.9,282.5,1.99,2.12