intersection,union,True_set,jaccard,FP,FN,n_intersections,sample
2156.5,2215.5,2155,0.973369,60.5,0,2155,High_confidence_datasets_10.Indel.jaccard.txt
31635,31683,31599,0.998485,84,0,31599,High_confidence_datasets_10.SNV.jaccard.txt
2156.5,2187.5,2155,0.985829,32.5,0,2155,High_confidence_datasets_11.Indel.jaccard.txt
31635,31668,31599,0.998958,69,0,31599,High_confidence_datasets_11.SNV.jaccard.txt
2156.5,2188.5,2155,0.985378,33.5,0,2155,High_confidence_datasets_12.Indel.jaccard.txt
31635,31648,31599,0.999589,49,0,31599,High_confidence_datasets_12.SNV.jaccard.txt
2156.5,2156.5,2155,1,1.5,0,2155,High_confidence_datasets_13.Indel.jaccard.txt
31635,31635,31599,1,36,0,31599,High_confidence_datasets_13.SNV.jaccard.txt
2155.5,2466.5,2155,0.87391,311.5,1,2154,High_confidence_datasets_2.Indel.jaccard.txt
31632,31918,31599,0.99104,319,3,31596,High_confidence_datasets_2.SNV.jaccard.txt
2156.5,2440.5,2155,0.88363,285.5,0,2155,High_confidence_datasets_3.Indel.jaccard.txt
31635,32053,31599,0.986959,454,0,31599,High_confidence_datasets_3.SNV.jaccard.txt
2156.5,2374.5,2155,0.908191,219.5,0,2155,High_confidence_datasets_4.Indel.jaccard.txt
31635,31894,31599,0.991879,295,0,31599,High_confidence_datasets_4.SNV.jaccard.txt
2156.5,2269.5,2155,0.950209,114.5,0,2155,High_confidence_datasets_5.Indel.jaccard.txt
31635,31893,31599,0.99191,294,0,31599,High_confidence_datasets_5.SNV.jaccard.txt
2156.5,2330.5,2155,0.925338,175.5,0,2155,High_confidence_datasets_6.Indel.jaccard.txt
31635,31867,31599,0.99272,268,0,31599,High_confidence_datasets_6.SNV.jaccard.txt
2156.5,2281.5,2155,0.945211,126.5,0,2155,High_confidence_datasets_7.Indel.jaccard.txt
31635,31804,31599,0.994686,205,0,31599,High_confidence_datasets_7.SNV.jaccard.txt
2156.5,2268.5,2155,0.950628,113.5,0,2155,High_confidence_datasets_8.Indel.jaccard.txt
31635,31840,31599,0.993562,241,0,31599,High_confidence_datasets_8.SNV.jaccard.txt
2156.5,2232.5,2155,0.965957,77.5,0,2155,High_confidence_datasets_9.Indel.jaccard.txt
31635,31742,31599,0.996629,143,0,31599,High_confidence_datasets_9.SNV.jaccard.txt