Well	Sample	DIN	STD
H6	HCC1395BL-4-30-N3	9.5	
G6	HCC1395BL-4-30-N2	9.5	
F6	HCC1395BL-4-30-N1	9.4	
G5	HCC1395BL-4-20-N3	9.3	
F5	HCC1395BL-4-20-N2	9.4	
E5	HCC1395BL-4-20-N1	9.5	
F4	HCC1395BL-4-10-N3	9.4	
E4	HCC1395BL-4-10-N2	9.4	
D4	HCC1395BL-4-10-N1	9.3	
E12	HCC1395BL-4-0-N3	9.5	
D12	HCC1395BL-4-0-N2	9.5	
C12	HCC1395BL-4-0-N1	9.4	0.075377836
F7	HCC1395BL-37-30-N3	9.3	
E7	HCC1395BL-37-30-N2	9.1	
D7	HCC1395BL-37-30-N1	9.4	
E6	HCC1395BL-37-20-N3	9.4	
D6	HCC1395BL-37-20-N2	9.4	
C6	HCC1395BL-37-20-N1	9.4	
D5	HCC1395BL-37-10-N3	9.5	
C5	HCC1395BL-37-10-N2	9.5	
B5	HCC1395BL-37-10-N1	9.3	
H15	HCC1395BL-37-0-N3	9.5	
H14	HCC1395BL-37-0-N2	9.5	
H13	HCC1395BL-37-0-N1	9.4	0.116450015
C7	HCC1395BL-25-30-N3	9.5	
B7	HCC1395BL-25-30-N2	9.3	
A7	HCC1395BL-25-30-N1	9.4	
B6	HCC1395BL-25-20-N3	9.4	
A6	HCC1395BL-25-20-N2	9.4	
H5	HCC1395BL-25-20-N1	9.4	
A5	HCC1395BL-25-10-N3	9.5	
H4	HCC1395BL-25-10-N2	9.5	
G4	HCC1395BL-25-10-N1	9.2	
H12	HCC1395BL-25-0-N3	9.5	
G12	HCC1395BL-25-0-N2	9.5	
F12	HCC1395BL-25-0-N1	9.4	0.093743687
E3	HCC1395-4-30-N3	9.2	
D3	HCC1395-4-30-N2	9.1	
C3	HCC1395-4-30-N1	9.1	
D2	HCC1395-4-20-N3	9.2	
C2	HCC1395-4-20-N2	9.3	
B2	HCC1395-4-20-N1	9.3	
C1	HCC1395-4-10-N3	9.3	
B1	HCC1395-4-10-N2	9.2	
A1	HCC1395-4-10-N1	9.2	
D11	HCC1395-4-0-N3	9.4	
C11	HCC1395-4-0-N2	9.3	
B11	HCC1395-4-0-N1	9.4	0.1
C4	HCC1395-37-30-N3	9.1	
B4	HCC1395-37-30-N2	9.3	
A4	HCC1395-37-30-N1	9.2	
B3	HCC1395-37-20-N3	9.3	
A3	HCC1395-37-20-N2	9.2	
H2	HCC1395-37-20-N1	9.3	
A2	HCC1395-37-10-N3	9.3	
H1	HCC1395-37-10-N2	9.3	
G1	HCC1395-37-10-N1	9.3	
B12	HCC1395-37-0-N3	9.4	
A12	HCC1395-37-0-N2	9.3	
H11	HCC1395-37-0-N1	9.4	0.083484711
H3	HCC1395-25-30-N3	9.2	
G3	HCC1395-25-30-N2	9.2	
F3	HCC1395-25-30-N1	9.3	
G2	HCC1395-25-20-N3	9.3	
F2	HCC1395-25-20-N2	9.3	
E2	HCC1395-25-20-N1	9.3	
F1	HCC1395-25-10-N3	9.2	
E1	HCC1395-25-10-N2	9.2	
D1	HCC1395-25-10-N1	9	
G11	HCC1395-25-0-N3	9.4	
F11	HCC1395-25-0-N2	9.3	
E11	HCC1395-25-0-N1	9.4	0.108362467
C10	F7-4-30-N3	8.5	
B10	F7-4-30-N2	8.5	
A10	F7-4-30-N1	8.4	
B9	F7-4-20-N3	8.5	
A9	F7-4-20-N2	8.4	
H8	F7-4-20-N1	8.5	
A8	F7-4-10-N3	8.6	
H7	F7-4-10-N2	8.4	
G7	F7-4-10-N1	8.6	
H18	F7-4-0-N3	8.6	
H17	F7-4-0-N2	8.5	
H16	F7-4-0-N1	8.6	0.079296146
A11	F7-37-30-N3	8.1	
H10	F7-37-30-N2	7.8	
G10	F7-37-30-N1	8.1	
H9	F7-37-20-N3	8.1	
G9	F7-37-20-N2	8.5	
F9	F7-37-20-N1	8.4	
G8	F7-37-10-N3	8.3	
F8	F7-37-10-N2	8.2	
E8	F7-37-10-N1	8.4	
H24	F7-37-0-N3	8.6	
H23	F7-37-0-N2	8.5	
H22	F7-37-0-N1	8.6	0.244948974
F10	F7-25-30-N3	8.4	
E10	F7-25-30-N2	8.3	
D10	F7-25-30-N1	8.2	
E9	F7-25-20-N3	8.4	
D9	F7-25-20-N2	8.5	
C9	F7-25-20-N1	8.5	
D8	F7-25-10-N3	8.5	
C8	F7-25-10-N2	8.6	
B8	F7-25-10-N1	8.3	
H21	F7-25-0-N3	8.6	
H20	F7-25-0-N2	8.5	
H19	F7-25-0-N1	8.6	0.128629136